Command,Link,Description,Preprocessed_Description
show user-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-user-tab.htm,"This command isplays detailed information about the user table such as the user name, device name, the IP and MAC addresses, the user role, and so on. The output of the show user-table command displays the following information.",show user-table isplays detailed information user table user name device name ip mac addresses user role output show following information
show user-table verbose,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-user-tab-verb.htm,"This command displays detailed information about the user table such as the user name, device name, the IP and MAC addresses, the user role, and so on.",show user-table verbose detailed information user table user name device name ip mac addresses user role
show valid-channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-valid-chan.htm,This command displays the list of channels that are valid for an Instant AP serving a specific regulatory domain.,show valid-channels list channels valid instant ap serving specific regulatory domain
show version,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-version.htm,This command displays the system software version.,show version system software version
show vlan,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vlan.htm,"This command displays a configured VLAN interface number, description and associated ports. The output of the show vlan command displays the following information.",show vlan configured vlan interface number associated ports output show vlan following information
show vlan-assignment,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vlan-assign.htm,"This command displays the number of clients, the timeout count for a client, and the amount of time a client is assigned to a VLAN. The output of the show vlan-assignment command displays the following information.",show vlan-assignment number clients timeout count client amount time client assigned vlan output show following information
show vlan mapping,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vlan-map.htm,"This command displays a configured VLAN name, its pool status, assignment type, and the VLAN IDs assigned to the pool. Use this command to show the selected VLAN",show vlan mapping configured vlan name pool status assignment type vlan ids assigned pool use show selected vlan
show vlan status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vlan-status.htm,This command displays the current status of all VLANs on the Gateways.,show vlan status current status vlans gateways
show vpdn l2tp configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vpdn-l2pt-cof.htm,This command displays the VPN L2TP tunnel configuration.,show vpdn l2tp configuration vpn l2tp tunnel configuration
show vpdn l2tp local pool,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vpdn-l2tp-lp.htm,This command displays the VPN L2TP local pool details.,show vpdn l2tp local pool vpn l2tp local pool details
show vpdn pptp configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vpdn-pptpconf.htm,This command displays the PPTP configuration on the Gateway.,show vpdn pptp configuration pptp configuration gateway
show vpdn pptp local pool,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vpdn-pptp.htm,This command displays the IP address pool for VPN users using Point-to-Point Tunneling Protocol.,show vpdn pptp local pool ip address pool vpn users using tunneling protocol
show vpdn tunnel l2tp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vpdn-tun-l2tp.htm,This command displays the VPN L2TP tunnel details.,show vpdn tunnel l2tp vpn l2tp tunnel details
show vpn-dialer,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vpn-dialr.htm,This command displays the VPN dialer configuration for users using VPN dialers.,show vpn-dialer vpn dialer configuration users using vpn dialers
show vrrp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vrrp.htm,This command displays the list of all VRRP configuration on the Gateway. The output of the show vrrp command displays the following information.,show vrrp list vrrp configuration gateway output show vrrp following information
show vrrp ipv6,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vrrp-ipv6.htm,This command display VRRP information for IPv6 address.,show vrrp ipv6 display vrrp information ipv6 address
show vrrp ipv6 stats all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vrrp-ipv6-stat.htm,This command display VRRP information for IPv6 address.,show vrrp ipv6 stats all display vrrp information ipv6 address
show vrrp stats all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-vrrp-stat-all.htm,This command display VRRP information for IPv4 address.,show vrrp stats all display vrrp information ipv4 address
show wan debug ipsecmap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-debug-ipsecmac.htm,This command displays the details on the Gateway WAN debug IPsec Map.,show wan debug ipsecmap details gateway wan debug ipsec map
show wan hits,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-hits.htm,This command displays information about the wan statistics for a gateway.,show wan hits information wan statistics gateway
show wan ip-sla-profiles,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-ip-sla-profiles.htm,This command displays the details on the Gateway WAN IP SLA Profiles.,show wan ip-sla-profiles details gateway wan ip sla profiles
show wan ip-sla-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-ip-sl.htm,This command displays the details of the gateway WAN IP SLA statistics.,show wan ip-sla-stats details gateway wan ip sla statistics
show wan nexthop-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-nexthop-ls.htm,"This command displays the next hop list settings for policy-based routing. A next hop IP is the IP address of a adjacent router or device with layer-2 connectivity to the Gateway. The next hop list provides redundancy for the next hop devices by forwarding the traffic to a backup next hop device in case of failures. If active next hop device on the list becomes unreachable, traffic matching a policy-based routing ACL is forwarded using the highest-priority active next hop on the list.",show wan nexthop-list next hop list settings routing next hop ip ip address adjacent router device connectivity gateway next hop list provides redundancy next hop devices forwarding traffic backup next hop device case failures active next hop device list becomes unreachable traffic matching routing acl forwarded using active next hop list
show wan pcl-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-pcl-tab.htm,"This command displays policy table details such as policy name, type of policy, entry, index, rule count, and entry count.",show wan pcl-table policy table details policy name type policy entry index rule count entry count
show wan policy-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-pol-list.htm,This command displays the policy list present in WAN.,show wan policy-list policy list present wan
show wan probe-profiles,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-pr-prof.htm,This command displays the probe profile details of the probe mode frequency for sending the HTTP probes to probe URI.,show wan probe-profiles probe profile details probe mode frequency sending http probes probe uri
show wan session-counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-sess-count.htm,"This command displays the session counter details such as policy, uplink VLAN, stats IP, and session count.",show wan session-counters session counter details policy uplink vlan stats ip session count
show wan threshold-profiles,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-thresh-prof.htm,This command displays the threshold profile values.,show wan threshold-profiles threshold profile values
show wan threshold-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-wan-thresh-stats.htm,This command displays the threshold values and indicates if the threshold profiles are violated.,show wan threshold-stats threshold values indicates threshold profiles violated
